PDB	HS	Eelec	Evdw	BSA	Edesolv
1oe9_1	-124.764972	-294.915	-125.192	3089.76	-0.885521
1juo_1	-271.2282	-430.492	-146.926	3703.93	-38.2038
1hqv_1	-308.0918632	-212.973	-131.394	2930.66	-134.124
1gjy_1	-330.6663	-594.943	-160.711	3914.84	-50.9667
1f4q_1	-367.3636721	-894.672	-158.82	4261.38	-29.6273
3bed_1	-223.8455	-246.845	-150.192	3428.66	-24.2845
3gdw_1	-188.6131	-233.556	-106.192	3014.24	-35.7099
3lfh_1	-280.2908	-338.629	-178.695	3725.52	-33.87
1pdo_1	-281.2783	-406.917	-162.758	3394	-37.1369
3b48_1	-278.4058	-432.704	-136.713	3077.35	-55.152
3gx1_1	-195.5847	-500.864	-85.3734	2591.06	-10.0385
3cr3_1	-148.8189	-410.365	-56.2061	1945.53	-10.5398
3mw9_3	-251.0231	-294.122	-136.518	3971.34	-55.6807
1bgv_2	-163.6733	-303.841	-89.6555	2130.56	-13.2496
4fcc_12	-144.19164	-322.091	-78.6511	2253.45	-1.12234
3k8z_7	-163.4289838	-207.916	-72.6423	1858.3	-49.2108
3k92_8	-140.8724672	-164.125	-63.0884	1708.87	-44.9767
3aog_17	-162.8298	-224.28	-72.5293	1991.04	-45.4445
1euz_8	-175.4244	-417.232	-78.5287	1959.29	-13.4493
3mw9_9	-204.9282	-268.434	-121.93	2997.61	-29.3114
1bgv_1	-198.0564	-522.654	-103.925	2929.28	10.3994
4fcc_5	-206.6356767	-600.71	-97.2981	3007.96	10.7895
3k8z_2	-151.8403852	-235.85	-85.8331	2375.35	-18.8442
3k92_1	-140.8984	-151.106	-78.7684	2142.2	-31.9088
3aog_1	-248.055	-599.645	-97.6517	3366.33	-30.4743
1euz_1	-191.9969	-544.654	-70.9519	2340.9	-12.1142
1els_1	-295.101	-629.995	-157.688	4075.1	-11.414
3qtp_1	-249.2405	-672.448	-154.796	3749.98	40.0451
1w6t_1	-260.6184103	-735.256	-150.514	3842.84	36.9313
1te6_1	-295.7574	-853.505	-162.62	4168.33	37.5636
1pdy_1	-296.82193	-654.044	-162.683	4109.53	-3.33013
1e9i_2	-267.50485	-638.133	-130.745	3367.78	-9.13325
4a3r_2	-224.1453	-600.923	-140.989	3653.44	37.0283
1oep_1	-278.9174829	-615.937	-157.856	3777.34	2.07879
3uj2_2	-239.4416392	-594.16	-131.304	3468.07	10.638
3tqp_1	-240.7282185	-517.366	-133.973	3266.04	-3.36915
2pa6_2	-275.958	-717.387	-146.662	3665.57	14.1814
3qn3_1	-207.9431	-408.95	-110.661	3157.26	-15.4921
3bsm_1	-227.8275155	-491.647	-114.274	3284.62	-15.2344
4dx3_1	-269.80468	-729.043	-126.736	3548.01	2.62542
2pod_1	-294.5089601	-822.682	-133.663	3589.94	3.67683
3dfh_2	-316.8600252	-542.089	-131.197	3777.68	-77.2557
2oo6_1	-183.39516	-31.0823	-146.104	3398.56	-31.0747
2ox4_2	-323.1716	-524.144	-162.162	4119.74	-56.1808
3u4f_2	-314.3225	-994.208	-99.6132	3602.61	-15.8677
3t9p_1	-352.6436	-1100.88	-103.484	3764.48	-28.9836
3t6c_4	-190.509	-590.344	-93.8054	2855.57	21.3652
4e4f_6	-156.884771	-310.702	-75.7394	2138.93	-19.0225
4e4u_3	-185.5625	-509.875	-69.3597	2261.68	-14.2278
3vcn_4	-127.5499	-324.674	-73.8149	2227.06	11.1998
3thu_5	-125.42768	-327.28	-64.216	2019.06	4.24432
3bsm_6	-116.4195479	-254.295	-57.5649	1732.28	-8.0105
2qjn_9	-95.5648724	-239.166	-72.9374	1994.98	25.1559
3v3w_3	-132.695644	-324.786	-61.5912	1972.95	-6.20688
4dx3_3	-96.177009	-187.142	-51.6504	1726.75	-7.43554
2pod_3	-144.7213397	-418.1	-61.6778	1896.64	0.570274
3tji_7	-201.8843	-464.656	-88.8923	2506.76	-20.0608
3dfh_7	-136.5385228	-326.404	-56.4164	1654.55	-14.8753
4hnl_3	-189.9815	-397.626	-95.5807	2442.43	-14.8756
2oo6_3	-117.1278	-521.637	-55.8382	1877.64	43.0378
3gy1_4	-164.1593027	-321.338	-82.2003	1995.66	-17.7529
2ox4_11	-95.37676132	-245.972	-40.725	1671.47	-5.4656
3rr1_4	-167.618916	-506.791	-79.1767	2441.81	12.6953
3t6c_3	-174.56986	-405.365	-96.7666	2735.27	3.26974
4e4f_4	-190.8635557	-242.029	-97.622	2660.27	-44.9108
4e4u_2	-238.9752	-470.292	-102.078	2816.86	-42.8388
3vcn_2	-136.44379	-162.526	-100.131	2625.81	-3.80759
3thu_3	-176.5205	-301.723	-97.7587	2936.52	-18.4172
3bsm_3	-165.1567526	-391.207	-86.9711	2641.85	0.04255165
2qjn_3	-153.4580394	-289.021	-106.419	2864.86	10.7621
3v3w_2	-161.6833747	-269.491	-93.3022	2687.42	-14.561
4dx3_2	-216.778556	-326.664	-128.588	2837.93	-22.9892
2pod_2	-158.1076164	-409.419	-121.337	2826.28	-13.5452
3tji_5	-197.2665	-157.66	-123.584	2852.49	-42.1505
3dfh_3	-187.7657822	-245.629	-116.924	2935.16	-21.7577
4hnl_2	-264.4447	-488.265	-138.884	3452.61	-27.9077
2oo6_2	-179.49482	-518.178	-81.8443	2581.6	5.98508
3gy1_2	-171.1805357	-164.539	-121.548	2816.52	-16.7972
2ox4_6	-203.4527	-502.832	-84.5254	2758.32	-18.3609
3rr1_2	-239.64977	-744.199	-111.752	3015.86	20.8257
1chq_4	-173.1205	-415.762	-78.3426	2430.67	-11.6255
2wv6_10	-158.7273646	-256.832	-83.884	1960.53	-23.5242
1gy8_1	-135.8783701	-432.059	-66.3762	2166.99	16.8795
2c5a_1	-220.0635	-160.293	-134.287	2900.76	-53.7179
1n7h_2	-174.423444	-230.439	-94.7023	2531.47	-33.6495
1db3_1	-188.447626	-296.567	-87.7138	2274.67	-41.6701
1t2a_2	-156.1137599	-320.711	-76.3269	2412.04	-15.6508
1g1a_2	-192.9119	-221.269	-107.89	2928.71	-40.7681
1u9j_1	-270.7001856	-451.063	-145.664	3459.69	-34.8968
1wvg_1	-217.1391792	-83.633	-104.361	2428.8	-96.0627
2pzj_1	-217.399391	-117.653	-126.891	3041.31	-67.1052
1rkx_2	-169.4761294	-109.966	-109.031	2381.21	-38.4716
2b69_1	-208.3249	-132.794	-134.735	3224.59	-47.0311
1bxk_1	-188.0948986	-229.908	-109.884	2856.29	-32.258
3slg_3	-258.208883	-525.522	-141.889	3356.14	-11.3467
1ek6_1	-164.43873	-469.66	-67.8744	2085.42	-2.63233
1ket_1	-190.288	-239.967	-107.178	2638.4	-35.1166
2z1m_2	-213.7053158	-299.433	-101.351	2696.52	-52.5472
3ru9_2	-164.3259397	-124.8	-88.1682	2470.76	-51.2847
3enk_1	-143.0722	-380.84	-77.7628	2251.75	10.8586
1sb8_1	-155.5402	-259.164	-87.6695	2478.75	-16.0379
1a9y_1	-137.232	-277.152	-69.708	2111.27	-12.0936
1r6d_1	-179.9797	-300.326	-109.907	2619.35	-10.0075
1orr_2	-217.5022309	-299.844	-105.621	2640.96	-51.9365
2hun_1	-181.9421176	-170.249	-136.406	2826.68	-11.4873
4idg_1	-123.9967	-225.489	-56.1824	1748.02	-22.7165
1rpn_1	-193.7357	-198.03	-113.128	2665.06	-41.0017
1bws_1	-177.7397	-264.266	-111.148	3013.95	-13.7385
4lw8_2	-128.2126121	-158.686	-53.5742	1499.43	-42.9257
3vps_1	-136.3963267	-188.034	-71.6399	2095.33	-27.1638
3a4v_1	-216.7848	-380.706	-98.7099	2826.95	-41.9337
2q1w_1	-223.2487252	-134.147	-126.042	2477.11	-70.4107
3aw9_2	-194.1473084	-45.0067	-97.8202	2425.8	-87.4028
2yy7_1	-176.6479	-152.253	-101.46	2280.9	-44.7373
2p5y_1	-186.86276	-54.9513	-111.668	2397.84	-64.2045
2pzl_1	-179.709114	-189.276	-77.9971	1972.5	-63.8724
2pk3_1	-180.4357	-277.868	-105.22	2735.03	-19.6421
3ehe_2	-140.9497126	-26.0074	-105.17	2312.45	-30.6037
3mbg_1	-289.9927	-527.277	-120.595	3002.24	-63.9423
3r7c_1	-285.5792	-422.362	-129.525	3090.91	-71.5818
1oqc_1	-290.1428	-367.112	-148.013	3143.01	-68.7074
1jr8_1	-216.3602	-226.199	-117.317	2628.21	-53.8034
3gwn_1	-273.5544	-184.005	-168.26	3280.04	-68.4934
1mkb_1	-290.9482	-485.097	-137.737	3309.26	-56.1918
4b0i_3	-284.402	-507.564	-138.21	3213.27	-44.6792
1z6b_3	-228.1831641	-196.367	-131.104	2725.03	-57.8106
2gll_3	-197.7332	-212.107	-111.033	2772.1	-44.2788
1zhg_1	-187.4831465	-218.83	-102.068	2271.66	-41.6777
1nv0_1	-186.4666	-225.243	-171.513	4190.95	0.679896
2gq1_1	-193.4165405	-242.647	-156.616	3634.62	11.685
1dcu_3	-133.569358	-174.694	-82.3787	2646.61	-16.2967
1bk4_2	-189.6808175	-254.663	-108.718	3091.98	-30.0853
3ifa_5	-144.0223548	-526.361	-75.2228	2454.56	36.4147
2gq1_2	-70.5932361	-146.894	-44.6056	1700.27	3.36126
1ta9_1	-315.6422302	-1047.89	-133.212	3794.19	27.0824
1vlj_1	-232.7229	-392.227	-141.53	3373.03	-12.7475
1oj7_1	-295.9964	-375.297	-158.943	3691.57	-61.994
3owo_2	-246.3009	-243.523	-121.408	2963.39	-76.1883
1rrm_1	-180.31278	-71.9989	-98.9362	2495.75	-66.9768
1jpu_1	-245.8195488	-806.801	-95.9524	2674.05	11.4519
1kq3_1	-199.14759	-438.325	-113.13	3157.12	1.64741
3uhj_1	-280.6128234	-629.584	-120.007	3083.55	-34.6928
3iv7_1	-223.2641	-417.371	-113.349	2632.36	-26.4409
1o2d_1	-132.15884	-14.1482	-106.483	2407.13	-22.8462
3jzd_1	-214.4538	-300.38	-88.3714	2362.19	-66.0064
3rf7_1	-226.0512	-296.82	-149.509	3523.21	-25.9857
3hl0_1	-185.0837	-116.008	-100.243	2489.57	-61.6391
3fwy_1	-218.653	-463.164	-109.304	3160.24	-16.7162
1de0_1	-372.34724	-1321.29	-117.319	4079.31	9.22976
1cp2_1	-167.6236	-370.759	-65.1079	2218.86	-28.3639
3a68_3	-263.963	-615.279	-127.497	3513.8	-13.4102
2c6r_1	-184.2947	-344.979	-85.8977	2529.16	-29.4012
2c2u_1	-203.2249	-367.846	-119.381	3522.38	-10.2747
3vnx_1	-233.1785	-408.247	-124.939	3329.99	-26.5901
2clb_4	-237.0653	-494.294	-99.5788	2780.19	-38.6277
1fha_1	-231.4762	-649.9	-123.617	3024.47	22.1208
1aew_1	-232.0623	-677.522	-106.831	2965.58	10.2731
1moj_1	-306.4874	-802.255	-131.761	3743.38	-14.2754
1r03_1	-224.0015	-665.818	-112.791	2896.35	21.9531
3qz3_2	-142.82986	-39.3558	-91.0849	2269.59	-43.8738
1nf4_3	-253.1593	-490.602	-126.393	3478.58	-28.6459
1bg7_1	-253.1039715	-831.537	-99.7245	2919.55	12.8868
2vxx_2	-305.8004	-353.945	-149.134	3688.23	-85.8774
2wlu_1	-171.6362946	-209.584	-88.7621	2313.09	-40.9738
1rci_1	-181.71013	-431.274	-87.941	2624.08	-7.51433
1s3q_5	-225.3942	-661.539	-76.161	2690.97	-16.9254
2vzb_1	-235.5858	-186.694	-101.786	2576.51	-96.461
4a25_2	-220.148	-501.879	-103.143	2677.29	-16.6292
3bvk_2	-190.37152	-85.8606	-124.894	2926.83	-48.3054
1dps_6	-229.6164	-473.615	-108.151	3277.09	-26.7424
3e6r_3	-114.50548	-69.3274	-75.7331	2054.26	-24.9069
1umn_1	-166.0996	-237.291	-78.6762	2326.14	-39.9652
3ge4_5	-248.0469	-542.721	-94.1064	3205.02	-45.3963
1eum_1	-195.3948	-219.282	-97.6284	2573.86	-53.91
1vlg_2	-217.3574	-575.438	-86.1678	2443.16	-16.102
1o9r_1	-232.3074	-470.078	-106.041	3117.09	-32.2508
2z90_2	-177.18959	-395.33	-90.3438	2664.27	-7.77979
3fvb_1	-155.25269	-362.982	-76.1888	2226.62	-6.46749
2yjj_2	-219.8043	-249.674	-125.064	2682.67	-44.8055
4am2_1	-140.90673	-369.166	-59.0864	2144.53	-7.98713
2vxi_4	-161.7506	-444.896	-56.6298	2078.8	-16.1416
3is7_9	-127.1168	-244.61	-57.055	1857.05	-21.1398
2c41_4	-184.2234	-274.751	-75.742	2407.27	-53.5312
1qgh_1	-196.5461	-225.94	-87.2032	2485.22	-64.1549
3iq1_1	-226.7863	-514.656	-87.2339	2643.31	-36.6212
2fkz_3	-122.0838	-241.537	-55.602	2070.64	-18.1744
3r2r_1	-155.8868	-400.219	-54.918	2017.87	-20.925
2chp_2	-135.6856	-108.001	-72.8394	2092.16	-41.246
1n1q_2	-144.4673	-158.872	-65.8139	2163.49	-46.879
2d5k_1	-179.8387	-371.443	-71.7884	2534.65	-33.7617
2qqy_1	-183.1391	-359.42	-74.9261	2371.15	-36.329
1jig_1	-198.0159	-197.502	-94.0328	2449.77	-64.4827
3t9j_1	-194.0295	-213.764	-95.7989	2583.7	-55.4778
1z6o_6	-210.6034	-215.545	-107.809	3426.62	-59.6854
3a68_25	-184.4287	-370.45	-91.4436	2811.75	-18.8951
2c6r_3	-126.69324	-388.329	-40.9247	1245.93	-8.10274
2c2u_2	-120.7342	-342.583	-64.3463	1725.06	12.1287
3vnx_2	-209.0763	-369.01	-104.179	2989.89	-31.0953
1z6o_13	-185.93264	-375.532	-102.42	2601.91	-8.40624
2clb_6	-102.34067	-186.777	-71.8211	1964.89	6.83583
1fha_2	-59.97001	-89.074	-47.7149	1415.46	5.55969
1aew_2	-44.50319	-34.5958	-42.063	1328.02	4.47897
1moj_10	-163.0543	-422.826	-64.0858	1791.95	-14.4033
1r03_2	-67.51994	-90.2352	-54.0529	1405.22	4.58
3qz3_3	-82.5475	-76.5565	-40.7422	1192.88	-26.494
2vxx_5	-144.0387	-270.034	-64.2051	1692.25	-25.8268
1rci_2	-69.05374	-71.4517	-44.3826	1228.55	-10.3808
2vzb_4	-82.89729	-216.781	-46.0237	1470.02	6.48261
4a25_3	-167.2288	-311.125	-93.4631	2389.18	-11.5407
3bvk_5	-99.8621	-103.58	-63.098	1674.52	-16.0481
1dps_10	-147.36542	-497.667	-42.8347	1457.59	-4.99732
3ge4_14	-158.72001	-574.86	-52.3733	1702.11	8.62529
1vlg_9	-66.56125	-126.728	-35.9036	1095.47	-5.31205
1o9r_7	-125.79864	-402.412	-49.585	1574.61	4.26876
2z90_3	-171.6721	-499.764	-83.2995	2097.16	11.5802
2vxi_29	-98.5742	-176.618	-36.7021	1135.78	-26.5485
3iq1_6	-104.5157	-270.262	-40.3679	1207.04	-10.0954
3r2r_2	-80.6246	-174.625	-32.6878	1182.64	-13.0118
2h09_1	-174.3257	-263.426	-75.8159	2217.71	-45.8246
2isz_2	-133.8258	-145.8	-75.6015	2008.38	-29.0643
1on1_1	-197.6778545	-399.388	-103.249	2595.69	-14.5774
2x4h_2	-119.3252	-56.919	-53.9764	1543.14	-53.965
3gg4_1	-258.6784613	-260.641	-153.967	3531.69	-52.6197
3d7e_1	-326.6526	-210.383	-179.388	3612.58	-105.188
2d4w_1	-315.6148	-648.132	-141.789	3305.55	-44.1994
3i8b_1	-145.3183	-175.316	-96.962	2004.64	-13.2931
1bu6_2	-319.5325	-540.668	-169.68	3520.45	-41.7189
2w40_1	-326.5424	-380.526	-174.881	3548.13	-75.5562
3hz6_1	-146.3869039	-154.093	-96.4205	2278.04	-19.1895
3ifr_1	-232.60007	-245.951	-121.086	2813.65	-62.6493
3g25_2	-304.2612	-392.612	-176.159	3799.65	-49.5798
2zf5_1	-306.1011	-370.964	-171.606	3584.06	-60.3023
4e1j_2	-198.57115	-256.868	-135.672	3227.24	-14.7399
3gbt_1	-232.0847	-288.503	-129.137	2918.38	-45.2471
2itm_1	-197.3203866	-143.326	-97.3713	2346.55	-71.2942
1fzc_4	-266.234	-532.225	-128.497	3942.28	-31.292
1re3_4	-220.06543	-484.051	-119.535	3597.57	-3.72023
1fzc_6	-118.6271	-203.748	-52.8117	1963.99	-25.0658
1re3_6	-113.0282	-178.833	-42.9851	1447.81	-34.2765
1re3_1	-247.84552	-599.428	-135.647	4055.22	7.68708
3tyy_1	-293.811	-548.627	-127.523	3956.8	-56.5626
3trt_1	-263.649	-295.83	-131.797	3733.57	-72.686
3g1e_1	-113.9559	-116.04	-58.3189	1660.88	-32.429
2j2z_1	-295.40625	-556.314	-176.801	4170.47	-7.34245
1pdk_1	-196.39922	-340.183	-130.284	3240.6	1.92138
3bwu_1	-179.7371245	-216.833	-128.841	2917.13	-7.59993
2w07_1	-254.899407	-319.823	-171.476	3758.4	-19.4799
1n0l_2	-187.455129	-297.716	-130.349	3220.98	2.2842
1ze3_1	-181.23789	-252.085	-136.742	3233	5.92111
1xi2_1	-357.4215	-455.315	-200.407	4249.26	-65.9515
3u7i_1	-267.3118	-445.611	-117.313	3116.83	-60.8766
2v9c_1	-228.0718372	-384.683	-109.569	2699.74	-41.6117
3p0r_1	-200.9057	-228.603	-111.464	2790.57	-43.7211
2hpv_1	-200.2755	-343.511	-85.719	2353.76	-45.8543
4c14_1	-187.2434	-105.779	-106.65	2521.98	-59.4376
1t5b_1	-160.7250412	-126.674	-94.7703	2436.47	-40.6246
3ha2_1	-239.2415	-472.16	-107.306	2518.93	-37.5035
2amj_1	-384.345535	-762.254	-165.505	3765.7	-66.5766
3lcm_1	-258	-332.229	-157.994	3340.92	-33.5602
3f2v_1	-205.0164904	-148.946	-107.65	2213.65	-67.5969
1rli_1	-228.8437753	-140.788	-129.992	2500.58	-70.7425
1e20_1	-134.6256	-112.629	-73.5918	1821.05	-38.508
3zqu_3	-77.39147	-281.704	-28.1967	1282.55	7.14603
3mcu_8	-41.1091334	-52.7828	-44.3112	1232.59	13.7405
1sbz_4	-121.9545088	-289.893	-48.5537	1435.03	-15.4468
3lqk_3	-55.05068029	-42.5749	-46.6203	1299.13	0.08459971
2ejb_2	-78.9534161	-262.01	-45.2634	1376.64	18.6905
3qjg_4	-124.4351	-225.618	-62.7897	1737.45	-16.5218
2fzv_3	-179.72085	-440.09	-90.119	2350.09	-1.58385
2q62_7	-202.8807	-380.246	-98.4736	2435.51	-28.3579
1sqs_1	-164.9379	-281.834	-94.1137	2711.52	-14.4574
2rg1_2	-116.3284323	-207.355	-57.8214	1517.98	-17.1202
1ydg_6	-168.6429	-247.903	-74.7754	2007.6	-44.2869
3s2y_2	-259.3366	-493.123	-118.715	2860.66	-41.997
3d7n_2	-160.114083	-125.661	-93.121	1873	-41.9923
1t0i_1	-274.4833854	-587.865	-117.148	3058.43	-39.7762
3svl_1	-256.5907	-540.479	-114.538	2781.33	-33.9569
2ark_5	-134.513511	-311.198	-73.2468	1772.71	0.972889
1rtt_1	-239.2899	-409.282	-119.344	2846.08	-38.0895
3gfr_2	-176.9253	-260.419	-89.1194	2287.73	-35.7221
1v7p_1	-363.1105	-575.412	-192.665	3715.97	-55.3631
1j35_1	-373.03	-234.6	-219.129	3699.74	-106.981
1y17_1	-386.481	-419.433	-216.983	3905.94	-85.6114
1oz7_1	-335.6489	-444.647	-152.681	3426.68	-94.0385
2xig_1	-231.0285874	-506.972	-111.929	2963.31	-17.7076
2fe3_1	-253.7521	-238.22	-141.344	3301.31	-64.7641
3eyy_1	-290.8069	-364.898	-129.366	3090.27	-88.4613
3mwm_1	-246.6851	-168.255	-142.465	2846.37	-70.5691
1mzb_1	-250.6858	-314.052	-127.816	2867.57	-60.0594
2bq7_1	-153.1831	-243.95	-80.3367	1782.83	-24.0564
1klj_1	-179.2018989	-358.245	-85.5302	2104.31	-22.0871
1cvw_1	-178.29491	-398.708	-90.7371	2067.52	-7.81621
2wpj_1	-121.0208	-118.794	-68.704	1548.91	-28.558
1jbu_1	-164.4932393	-347.358	-82.7299	2081.72	-12.3047
3kl6_1	-156.4116	-215.861	-83.4708	1643.03	-29.7686
3lc3_2	-138.5363	-146.755	-72.3411	1699.96	-36.8442
1w7x_1	-173.6660844	-334.919	-98.3095	2107.57	-8.37969
1fjs_1	-165.8498	-248.151	-97.911	1935.36	-18.3086
1hcg_1	-168.719858	-266.198	-94.7639	1954.13	-20.7322
3c56_1	-291.7330567	-420.242	-156.65	3768.77	-51.0353
1rv8_2	-291.9481524	-518.279	-156.718	3725.58	-31.576
3pm6_1	-204.568679	-206.223	-95.7778	2838.96	-67.6589
1gvf_2	-233.4556341	-291.546	-131.908	3054.08	-43.2586
3q94_1	-294.8390516	-693.497	-123.471	3414.8	-32.6724
2nvw_2	-403.3571	-1245.74	-130.694	3967.54	-24.0371
1h6d_11	-238.014	-244.209	-130.974	3311.78	-58.1982
4gqa_1	-246.3607642	-739.702	-99.7678	3407.52	1.31781
3dty_2	-244.0443268	-323.912	-138.263	2940.77	-41.0786
4h3v_1	-292.5079017	-713.181	-121.154	3533.93	-28.7309
1rye_1	-236.6520468	-333.364	-136.085	3519.18	-33.959
3gdo_1	-196.9381644	-183.101	-122.708	3161.92	-37.6272
3db2_1	-315.5814	-488.736	-169.303	3962.63	-48.5312
3e82_1	-221.864839	-151.303	-127.125	3091.69	-64.5748
3q2i_1	-290.7024269	-214.231	-182.527	3765.16	-65.3853
3fhl_2	-265.938611	-842.108	-112.52	3558.73	14.824
3q2k_1	-273.4822367	-251.309	-164.98	3658.19	-58.253
3fd8_3	-293.6142	-786.941	-105.279	3427.85	-30.947
3m2t_2	-230.855843	-577.775	-105.098	3154.58	-10.2487
3cea_2	-241.3711	-191.879	-147.445	3417.59	-55.5503
3f4l_1	-297.6128	-838.619	-96.8026	3439.55	-33.0864
3mz0_1	-238.63222	-692.69	-95.0173	2880.16	-5.07692
3ec7_1	-246.7444	-385.976	-129.065	3160.63	-40.4842
2o4u_1	-195.1626	-258.888	-118.5	2795.2	-24.885
3euw_2	-236.3367	-408.189	-122.835	3208.33	-31.8639
3ezy_2	-256.8091	-530.047	-110.002	3350.23	-40.7977
2glx_2	-268.2424	-310.39	-150.907	3830.17	-55.2574
3rc9_1	-162.6178331	-314.784	-109.061	3163.81	9.34683
4hkt_1	-221.65627	-528.175	-112.841	3173.53	-3.18027
4had_2	-277.56008	-454.643	-138.415	3102.84	-48.2758
3ip3_3	-259.5078	-410.071	-144.781	3792.95	-32.7126
3evn_1	-174.8271	-357.69	-78.6882	2460.95	-24.6009
1lpk_1	-153.9684	-281.618	-82.2832	1829.79	-15.3616
1xkb_2	-166.9425	-255.245	-85.1274	1831.73	-30.7661
1dan_2	-154.9459149	-269.112	-93.1205	1984.05	-8.02353
2c4f_2	-157.6357605	-251.799	-95.9989	2059.9	-11.2802
1f0r_1	-157.4846	-271.635	-84.3419	1857.56	-18.8157
1wu1_1	-185.2799	-290.034	-91.1066	1901.86	-36.1665
1htq_23	-332.462	-489.721	-137.56	3964.25	-96.9578
1f52_12	-321.5645	-556.728	-151.155	3598.02	-59.0639
1epx_2	-175.3409	-205.833	-112.624	3138.74	-21.5503
1f2j_1	-196.4197	-309.946	-106.078	3234.22	-28.3525
2pc4_2	-190.8697804	-377.538	-102.661	2998.63	-12.7187
1ado_2	-184.1947	-301.044	-99.1865	2740.28	-24.7994
1fdj_5	-169.6435	-219.961	-86.823	2330.98	-38.8283
1fba_2	-222.2465	-326.253	-118.184	3014.27	-38.8119
3kx6_3	-199.9130072	-383.622	-86.4676	2308.84	-36.7484
3mmt_3	-175.4539	-355.26	-60.0559	1632.46	-44.346
3mbf_1	-201.24708	-439.476	-105.023	2446.79	-8.32888
1epx_3	-197.77262	-526.039	-96.7734	3240.21	4.20858
1f2j_2	-187.60924	-375.523	-106.475	3068.86	-6.02964
2pc4_1	-239.1086521	-557.12	-97.6533	3057.99	-30.0458
1ado_4	-165.0182	-340.682	-84.1587	2490.7	-12.7231
1fdj_4	-172.0268	-391.272	-80.1472	2544.86	-13.6252
1fba_4	-223.7046	-551.459	-97.9518	2995.44	-15.461
3kx6_2	-194.9838518	-516.369	-82.0647	2617.25	-9.66187
3mmt_2	-154.7492	-515.42	-64.4031	2273.07	12.7379
1zvw_1	-122.5261623	-137.417	-81.0203	2024.91	-14.061
1vqu_1	-136.488445	-58.9804	-91.253	1840.5	2.82869
4gtn_1	-216.561211	-274.294	-94.3822	1964.83	-67.4222
1o17_1	-27.7736938	-146.308	-60.6485	1887.28	-17.3924
1kgz_1	-129.5272117	-175.016	-74.5912	1816.22	-19.9436
4hkm_1	-139.837122	-122.222	-69.769	1836.79	-45.9411
1v8g_1	-126.7825	-157.803	-59.8818	1537.75	-35.3401
1uou_1	-141.3707537	-191.589	-76.6663	1807.82	-26.4148
4eaf_1	-125.98532	-193.124	-82.8411	1766.55	-4.51942
3h5q_1	-122.58596	-58.7223	-83.6529	1674.26	-27.1886
1brw_1	-198.0795	-132.971	-106.292	2203.75	-65.1933
2dsj_2	-141.1007	-221.031	-77.5962	1752.16	-19.2983
1r9c_1	-286.924832	-410.696	-163.621	3916.34	-41.4242
1fa6_1	-261.2009761	-512.381	-152.835	3476.97	-5.91288
2p7o_1	-256.0121785	-336.94	-169.79	4000.41	-18.866
1xqa_1	-242.6725	-390.77	-128.437	3045.06	-36.0815
1xy7_1	-295.1104424	-200.212	-167.76	3985.06	-87.3883
4nvs_1	-296.4826	-177.409	-196.748	4146.05	-64.2528
3vcx_1	-199.234304	-238.671	-128.729	2879.83	-22.7877
4iag_1	-251.8006	-307.708	-156.04	3342.4	-34.219
1kmz_1	-226.3519	-234.584	-127.423	3381.66	-52.0121
4hc5_1	-212.9972	-163.253	-154.715	3857.63	-25.6316
1ecs_1	-201.8279	-319.271	-119.512	2683.11	-18.4617
1byl_1	-262.466	-267.406	-160.819	3680.19	-48.1658
1jif_1	-252.7683	-254.497	-145.622	3338.39	-56.2469
3ghj_1	-272.0062	-255.467	-153.905	3917.95	-67.0078
2i7r_1	-259.4883	-190.127	-181.245	3696.04	-40.2179
4n04_1	-183.11106	-274.634	-123.367	2761.28	-4.81726
3sth_1	-335.4112	-742.233	-152.298	3982.26	-34.6666
1rm4_2	-253.6249	-583.008	-128.452	3994.08	-8.5713
3dmt_1	-348.0474	-543.892	-176.192	4221.53	-63.077
2yyy_1	-235.60191	-535.127	-123.065	3592.34	-5.51151
2ep7_1	-246.68973	-609.43	-115.095	3778.78	-9.70873
1b7g_3	-218.45525	-421.811	-127.631	3383.79	-6.46205
2x5k_1	-267.7001213	-497.838	-147.556	3974.55	-20.5898
1vsu_2	-302.0145767	-635.103	-150.425	4041.29	-24.5943
3b20_2	-279.1839	-757.012	-105.957	3847.65	-21.8245
3h9e_1	-307.9485	-613.199	-161.478	4081.83	-23.8307
4k9d_4	-297.857498	-533.286	-162.622	4058.51	-28.7099
1dc5_2	-314.895	-587.958	-158.282	3997.23	-39.0214
1cf2_2	-272.4784	-473.838	-139.851	3580.34	-37.8598
3e5r_1	-324.1744	-671.456	-151.869	3977.36	-38.0142
2b4r_2	-311.1608	-583.872	-151.027	3983.4	-43.3594
1obf_1	-257.6165	-496.954	-139.597	3940.53	-18.6287
1u8f_2	-312.841	-554.176	-160.459	3979.47	-41.5468
3hja_2	-298.909	-638.222	-143.021	4014.58	-28.2436
3doc_2	-275.6672	-451.847	-136.797	3915.32	-48.5008
2czc_2	-291.8658	-374.331	-152.521	3652.16	-64.4786
1crw_1	-345.0292	-548.653	-159.814	4030.43	-75.4846
2i5p_1	-249.6247731	-225.779	-144.22	3315.24	-60.2798
3sth_3	-194.3831	-236.944	-105.148	2896.52	-41.8463
1rm4_5	-156.4328	-212.739	-91.6483	2597.78	-22.2367
1k3t_4	-226.7687	-286.72	-108.027	2983.64	-61.3977
2ep7_3	-191.708	-177.434	-111.416	3104.78	-44.8052
